Rank,Country,Total Value Index,Classification
87,Dominican Republic,0.562,Hybrid Regime
88,Paraguay,0.558,Deficient Democracy
89,Montenegro,0.554,Hybrid Regime
90,Mexico,0.553,Hybrid Regime
91,Burma/Myanmar,0.542,Hybrid Regime
92,Ukraine,0.54,Hybrid Regime
93,Sri Lanka,0.54,Deficient Democracy
94,Fiji,0.537,Hybrid Regime
95,Malaysia,0.536,Hybrid Regime
96,Bosnia and Herzegovina,0.531,Hybrid Regime
97,Bolivia,0.521,Hybrid Regime
98,Guatemala,0.504,Hybrid Regime
99,Benin,0.503,Hybrid Regime
100,Nigeria,0.503,Hybrid Regime
101,Kuwait,0.496,Hybrid Regime
102,Guinea-Bissau,0.492,Hybrid Regime
103,Papua New Guinea,0.49,Hybrid Regime
104,El Salvador,0.485,Hybrid Regime
105,Morocco,0.474,Hybrid Regime
106,Lebanon,0.474,Hybrid Regime
107,Hong Kong,0.464,Hybrid Regime
108,Zambia,0.456,Hybrid Regime
109,Jordan,0.454,Hybrid Regime
110,Kyrgyzstan,0.448,Hybrid Regime
111,Mali,0.448,Hybrid Regime
112,Philippines,0.443,Hybrid Regime
113,Gabon,0.443,Hybrid Regime
114,Mozambique,0.441,Hybrid Regime
115,Serbia,0.439,Moderate Autocracy
116,Somaliland,0.432,Moderate Autocracy
117,Côte d'Ivoire,0.431,Hybrid Regime
118,Madagascar,0.415,Moderate Autocracy
119,Uganda,0.409,Hybrid Regime
120,Angola,0.387,Moderate Autocracy
121,Togo,0.387,Hybrid Regime
122,Honduras,0.379,Moderate Autocracy
123,Pakistan,0.375,Hybrid Regime
124,Comoros,0.372,Hybrid Regime
125,Afghanistan,0.358,Moderate Autocracy
126,Mauritania,0.357,Moderate Autocracy
127,Iraq,0.354,Moderate Autocracy
128,Ethiopia,0.351,Hybrid Regime
129,Zanzibar,0.349,Hybrid Regime
130,Central African Republic,0.349,Moderate Autocracy
131,Haiti,0.346,Moderate Autocracy
132,"Congo, Democratic Republic",0.337,Moderate Autocracy
133,Zimbabwe,0.336,Moderate Autocracy
134,Algeria,0.319,Moderate Autocracy
135,Thailand,0.3,Moderate Autocracy
136,Djibouti,0.291,Moderate Autocracy
137,Turkey,0.29,Moderate Autocracy
138,Cameroon,0.286,Moderate Autocracy
139,Kazakhstan,0.276,Moderate Autocracy
140,Guinea,0.275,Moderate Autocracy
141,Uzbekistan,0.269,Moderate Autocracy
142,Rwanda,0.269,Moderate Autocracy
143,"Congo, Republic",0.266,Moderate Autocracy
144,Russia,0.262,Moderate Autocracy
145,"Vietnam, Democratic Republic",0.254,Moderate Autocracy
146,Oman,0.251,Moderate Autocracy
147,Iran,0.25,Moderate Autocracy
148,Eswatini,0.239,Moderate Autocracy
149,Bangladesh,0.215,Moderate Autocracy
150,Chad,0.211,Moderate Autocracy
151,Egypt,0.21,Moderate Autocracy
152,Cambodia,0.178,Moderate Autocracy
153,United Arab Emirates,0.166,Hard Autocracy
154,Cuba,0.165,Moderate Autocracy
155,Belarus,0.139,Moderate Autocracy
156,Nicaragua,0.137,Moderate Autocracy
157,Azerbaijan,0.136,Hard Autocracy
158,Burundi,0.125,Hard Autocracy
159,Venezuela,0.118,Hard Autocracy
160,Equatorial Guinea,0.117,Hard Autocracy
161,Tajikistan,0.111,Hard Autocracy
162,Laos,0.101,Hard Autocracy
163,Libya,0.095,Hard Autocracy
164,Turkmenistan,0.09,Hard Autocracy
165,Somalia,0.082,Hard Autocracy
166,Palestine/West Bank,0.082,Hard Autocracy
167,Sudan,0.064,Hard Autocracy
168,Palestine/Gaza,0.055,Hard Autocracy
169,Qatar,0.054,Hard Autocracy
170,Syria,0.053,Hard Autocracy
171,South Sudan,0.053,Hard Autocracy
172,China,0.048,Hard Autocracy
173,Saudi Arabia,0.048,Hard Autocracy
174,Yemen,0.041,Hard Autocracy
175,North Korea,0.029,Hard Autocracy
176,Eritrea,0.017,Hard Autocracy
